"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"1","No","Lower","male",22,1,0,7.25,"Southampton"
"2","Si","Upper","female",38,1,0,71.2833,"Cherbourg"
"3","Si","Lower","female",26,0,0,7.925,"Southampton"
"4","Si","Upper","female",35,1,0,53.1,"Southampton"
"5","No","Lower","male",35,0,0,8.05,"Southampton"
"6","No","Lower","male",21,0,0,8.4583,"Queenstown"
"7","No","Upper","male",54,0,0,51.8625,"Southampton"
"8","No","Lower","male",2,3,1,21.075,"Southampton"
"9","Si","Lower","female",27,0,2,11.1333,"Southampton"
"10","Si","Middle","female",14,1,0,30.0708,"Cherbourg"
"11","Si","Lower","female",4,1,1,16.7,"Southampton"
"12","Si","Upper","female",58,0,0,26.55,"Southampton"
"13","No","Lower","male",20,0,0,8.05,"Southampton"
"14","No","Lower","male",39,1,5,31.275,"Southampton"
"15","No","Lower","female",14,0,0,7.8542,"Southampton"
"16","Si","Middle","female",55,0,0,16,"Southampton"
"17","No","Lower","male",2,4,1,29.125,"Queenstown"
"18","Si","Middle","male",34,0,0,13,"Southampton"
"19","No","Lower","female",31,1,0,18,"Southampton"
"20","Si","Lower","female",30,0,0,7.225,"Cherbourg"
"21","No","Middle","male",35,0,0,26,"Southampton"
"22","Si","Middle","male",34,0,0,13,"Southampton"
"23","Si","Lower","female",15,0,0,8.0292,"Queenstown"
"24","Si","Upper","male",28,0,0,35.5,"Southampton"
"25","No","Lower","female",8,3,1,21.075,"Southampton"
"26","Si","Lower","female",38,1,5,31.3875,"Southampton"
"27","No","Lower","male",30,0,0,7.225,"Cherbourg"
"28","No","Upper","male",19,3,2,263,"Southampton"
"29","Si","Lower","female",26,0,0,7.8792,"Queenstown"
"30","No","Lower","male",33,0,0,7.8958,"Southampton"
"31","No","Upper","male",40,0,0,27.7208,"Cherbourg"
"32","Si","Upper","female",26,1,0,146.5208,"Cherbourg"
"33","Si","Lower","female",22,0,0,7.75,"Queenstown"
"34","No","Middle","male",66,0,0,10.5,"Southampton"
"35","No","Upper","male",28,1,0,82.1708,"Cherbourg"
"36","No","Upper","male",42,1,0,52,"Southampton"
"37","Si","Lower","male",20,0,0,7.2292,"Cherbourg"
"38","No","Lower","male",21,0,0,8.05,"Southampton"
"39","No","Lower","female",18,2,0,18,"Southampton"
"40","Si","Lower","female",14,1,0,11.2417,"Cherbourg"
"41","No","Lower","female",40,1,0,9.475,"Southampton"
"42","No","Middle","female",27,1,0,21,"Southampton"
"43","No","Lower","male",33,0,0,7.8958,"Cherbourg"
"44","Si","Middle","female",3,1,2,41.5792,"Cherbourg"
"45","Si","Lower","female",19,0,0,7.8792,"Queenstown"
"46","No","Lower","male",24,0,0,8.05,"Southampton"
"47","No","Lower","male",30,1,0,15.5,"Queenstown"
"48","Si","Lower","female",22,0,0,7.75,"Queenstown"
"49","No","Lower","male",21,2,0,21.6792,"Cherbourg"
"50","No","Lower","female",18,1,0,17.8,"Southampton"
"51","No","Lower","male",7,4,1,39.6875,"Southampton"
"52","No","Lower","male",21,0,0,7.8,"Southampton"
"53","Si","Upper","female",49,1,0,76.7292,"Cherbourg"
"54","Si","Middle","female",29,1,0,26,"Southampton"
"55","No","Upper","male",65,0,1,61.9792,"Cherbourg"
"56","Si","Upper","male",36,0,0,35.5,"Southampton"
"57","Si","Middle","female",21,0,0,10.5,"Southampton"
"58","No","Lower","male",28.5,0,0,7.2292,"Cherbourg"
"59","Si","Middle","female",5,1,2,27.75,"Southampton"
"60","No","Lower","male",11,5,2,46.9,"Southampton"
"61","No","Lower","male",22,0,0,7.2292,"Cherbourg"
"62","Si","Upper","female",38,0,0,80,"Southampton"
"63","No","Upper","male",45,1,0,83.475,"Southampton"
"64","No","Lower","male",4,3,2,27.9,"Southampton"
"65","No","Upper","male",40,0,0,27.7208,"Cherbourg"
"66","Si","Lower","male",9,1,1,15.2458,"Cherbourg"
"67","Si","Middle","female",29,0,0,10.5,"Southampton"
"68","No","Lower","male",19,0,0,8.1583,"Southampton"
"69","Si","Lower","female",17,4,2,7.925,"Southampton"
"70","No","Lower","male",26,2,0,8.6625,"Southampton"
"71","No","Middle","male",32,0,0,10.5,"Southampton"
"72","No","Lower","female",16,5,2,46.9,"Southampton"
"73","No","Middle","male",21,0,0,73.5,"Southampton"
"74","No","Lower","male",26,1,0,14.4542,"Cherbourg"
"75","Si","Lower","male",32,0,0,56.4958,"Southampton"
"76","No","Lower","male",25,0,0,7.65,"Southampton"
"77","No","Lower","male",33,0,0,7.8958,"Southampton"
"78","No","Lower","male",24,0,0,8.05,"Southampton"
"79","Si","Middle","male",0.83,0,2,29,"Southampton"
"80","Si","Lower","female",30,0,0,12.475,"Southampton"
"81","No","Lower","male",22,0,0,9,"Southampton"
"82","Si","Lower","male",29,0,0,9.5,"Southampton"
"83","Si","Lower","female",22,0,0,7.7875,"Queenstown"
"84","No","Upper","male",28,0,0,47.1,"Southampton"
"85","Si","Middle","female",17,0,0,10.5,"Southampton"
"86","Si","Lower","female",33,3,0,15.85,"Southampton"
"87","No","Lower","male",16,1,3,34.375,"Southampton"
"88","No","Lower","male",24,0,0,8.05,"Southampton"
"89","Si","Upper","female",23,3,2,263,"Southampton"
"90","No","Lower","male",24,0,0,8.05,"Southampton"
"91","No","Lower","male",29,0,0,8.05,"Southampton"
"92","No","Lower","male",20,0,0,7.8542,"Southampton"
"93","No","Upper","male",46,1,0,61.175,"Southampton"
"94","No","Lower","male",26,1,2,20.575,"Southampton"
"95","No","Lower","male",59,0,0,7.25,"Southampton"
"96","No","Lower","male",24,0,0,8.05,"Southampton"
"97","No","Upper","male",71,0,0,34.6542,"Cherbourg"
"98","Si","Upper","male",23,0,1,63.3583,"Cherbourg"
"99","Si","Middle","female",34,0,1,23,"Southampton"
"100","No","Middle","male",34,1,0,26,"Southampton"
"101","No","Lower","female",28,0,0,7.8958,"Southampton"
"102","No","Lower","male",33,0,0,7.8958,"Southampton"
"103","No","Upper","male",21,0,1,77.2875,"Southampton"
"104","No","Lower","male",33,0,0,8.6542,"Southampton"
"105","No","Lower","male",37,2,0,7.925,"Southampton"
"106","No","Lower","male",28,0,0,7.8958,"Southampton"
"107","Si","Lower","female",21,0,0,7.65,"Southampton"
"108","Si","Lower","male",26,0,0,7.775,"Southampton"
"109","No","Lower","male",38,0,0,7.8958,"Southampton"
"110","Si","Lower","female",28,1,0,24.15,"Queenstown"
"111","No","Upper","male",47,0,0,52,"Southampton"
"112","No","Lower","female",14.5,1,0,14.4542,"Cherbourg"
"113","No","Lower","male",22,0,0,8.05,"Southampton"
"114","No","Lower","female",20,1,0,9.825,"Southampton"
"115","No","Lower","female",17,0,0,14.4583,"Cherbourg"
"116","No","Lower","male",21,0,0,7.925,"Southampton"
"117","No","Lower","male",70.5,0,0,7.75,"Queenstown"
"118","No","Middle","male",29,1,0,21,"Southampton"
"119","No","Upper","male",24,0,1,247.5208,"Cherbourg"
"120","No","Lower","female",2,4,2,31.275,"Southampton"
"121","No","Middle","male",21,2,0,73.5,"Southampton"
"122","No","Lower","male",24,0,0,8.05,"Southampton"
"123","No","Middle","male",32.5,1,0,30.0708,"Cherbourg"
"124","Si","Middle","female",32.5,0,0,13,"Southampton"
"125","No","Upper","male",54,0,1,77.2875,"Southampton"
"126","Si","Lower","male",12,1,0,11.2417,"Cherbourg"
"127","No","Lower","male",51,0,0,7.75,"Queenstown"
"128","Si","Lower","male",24,0,0,7.1417,"Southampton"
"129","Si","Lower","female",26,1,1,22.3583,"Cherbourg"
"130","No","Lower","male",45,0,0,6.975,"Southampton"
"131","No","Lower","male",33,0,0,7.8958,"Cherbourg"
"132","No","Lower","male",20,0,0,7.05,"Southampton"
"133","No","Lower","female",47,1,0,14.5,"Southampton"
"134","Si","Middle","female",29,1,0,26,"Southampton"
"135","No","Middle","male",25,0,0,13,"Southampton"
"136","No","Middle","male",23,0,0,15.0458,"Cherbourg"
"137","Si","Upper","female",19,0,2,26.2833,"Southampton"
"138","No","Upper","male",37,1,0,53.1,"Southampton"
"139","No","Lower","male",16,0,0,9.2167,"Southampton"
"140","No","Upper","male",24,0,0,79.2,"Cherbourg"
"141","No","Lower","female",29,0,2,15.2458,"Cherbourg"
"142","Si","Lower","female",22,0,0,7.75,"Southampton"
"143","Si","Lower","female",24,1,0,15.85,"Southampton"
"144","No","Lower","male",19,0,0,6.75,"Queenstown"
"145","No","Middle","male",18,0,0,11.5,"Southampton"
"146","No","Middle","male",19,1,1,36.75,"Southampton"
"147","Si","Lower","male",27,0,0,7.7958,"Southampton"
"148","No","Lower","female",9,2,2,34.375,"Southampton"
"149","No","Middle","male",36.5,0,2,26,"Southampton"
"150","No","Middle","male",42,0,0,13,"Southampton"
"151","No","Middle","male",51,0,0,12.525,"Southampton"
"152","Si","Upper","female",22,1,0,66.6,"Southampton"
"153","No","Lower","male",55.5,0,0,8.05,"Southampton"
"154","No","Lower","male",40.5,0,2,14.5,"Southampton"
"155","No","Lower","male",22,0,0,7.3125,"Southampton"
"156","No","Upper","male",51,0,1,61.3792,"Cherbourg"
"157","Si","Lower","female",16,0,0,7.7333,"Queenstown"
"158","No","Lower","male",30,0,0,8.05,"Southampton"
"159","No","Lower","male",33,0,0,8.6625,"Southampton"
"160","No","Lower","male",11,8,2,69.55,"Southampton"
"161","No","Lower","male",44,0,1,16.1,"Southampton"
"162","Si","Middle","female",40,0,0,15.75,"Southampton"
"163","No","Lower","male",26,0,0,7.775,"Southampton"
"164","No","Lower","male",17,0,0,8.6625,"Southampton"
"165","No","Lower","male",1,4,1,39.6875,"Southampton"
"166","Si","Lower","male",9,0,2,20.525,"Southampton"
"167","Si","Upper","female",22,0,1,55,"Southampton"
"168","No","Lower","female",45,1,4,27.9,"Southampton"
"169","No","Upper","male",46,0,0,25.925,"Southampton"
"170","No","Lower","male",28,0,0,56.4958,"Southampton"
"171","No","Upper","male",61,0,0,33.5,"Southampton"
"172","No","Lower","male",4,4,1,29.125,"Queenstown"
"173","Si","Lower","female",1,1,1,11.1333,"Southampton"
"174","No","Lower","male",21,0,0,7.925,"Southampton"
"175","No","Upper","male",56,0,0,30.6958,"Cherbourg"
"176","No","Lower","male",18,1,1,7.8542,"Southampton"
"177","No","Lower","male",6,3,1,25.4667,"Southampton"
"178","No","Upper","female",50,0,0,28.7125,"Cherbourg"
"179","No","Middle","male",30,0,0,13,"Southampton"
"180","No","Lower","male",36,0,0,12.875,"Southampton"
"181","No","Lower","female",11,8,2,69.55,"Southampton"
"182","No","Middle","male",40.5,0,0,15.05,"Cherbourg"
"183","No","Lower","male",9,4,2,31.3875,"Southampton"
"184","Si","Middle","male",1,2,1,39,"Southampton"
"185","Si","Lower","female",4,0,2,22.025,"Southampton"
"186","No","Upper","male",54,0,0,50,"Southampton"
"187","Si","Lower","female",24,1,0,15.5,"Queenstown"
"188","Si","Upper","male",45,0,0,26.55,"Southampton"
"189","No","Lower","male",40,1,1,15.5,"Queenstown"
"190","No","Lower","male",36,0,0,7.8958,"Southampton"
"191","Si","Middle","female",32,0,0,13,"Southampton"
"192","No","Middle","male",19,0,0,13,"Southampton"
"193","Si","Lower","female",19,1,0,7.8542,"Southampton"
"194","Si","Middle","male",3,1,1,26,"Southampton"
"195","Si","Upper","female",44,0,0,27.7208,"Cherbourg"
"196","Si","Upper","female",58,0,0,146.5208,"Cherbourg"
"197","No","Lower","male",51,0,0,7.75,"Queenstown"
"198","No","Lower","male",42,0,1,8.4042,"Southampton"
"199","Si","Lower","female",22,0,0,7.75,"Queenstown"
"200","No","Middle","female",24,0,0,13,"Southampton"
"201","No","Lower","male",28,0,0,9.5,"Southampton"
"202","No","Lower","male",11,8,2,69.55,"Southampton"
"203","No","Lower","male",34,0,0,6.4958,"Southampton"
"204","No","Lower","male",45.5,0,0,7.225,"Cherbourg"
"205","Si","Lower","male",18,0,0,8.05,"Southampton"
"206","No","Lower","female",2,0,1,10.4625,"Southampton"
"207","No","Lower","male",32,1,0,15.85,"Southampton"
"208","Si","Lower","male",26,0,0,18.7875,"Cherbourg"
"209","Si","Lower","female",16,0,0,7.75,"Queenstown"
"210","Si","Upper","male",40,0,0,31,"Cherbourg"
"211","No","Lower","male",24,0,0,7.05,"Southampton"
"212","Si","Middle","female",35,0,0,21,"Southampton"
"213","No","Lower","male",22,0,0,7.25,"Southampton"
"214","No","Middle","male",30,0,0,13,"Southampton"
"215","No","Lower","male",25,1,0,7.75,"Queenstown"
"216","Si","Upper","female",31,1,0,113.275,"Cherbourg"
"217","Si","Lower","female",27,0,0,7.925,"Southampton"
"218","No","Middle","male",42,1,0,27,"Southampton"
"219","Si","Upper","female",32,0,0,76.2917,"Cherbourg"
"220","No","Middle","male",30,0,0,10.5,"Southampton"
"221","Si","Lower","male",16,0,0,8.05,"Southampton"
"222","No","Middle","male",27,0,0,13,"Southampton"
"223","No","Lower","male",51,0,0,8.05,"Southampton"
"224","No","Lower","male",33,0,0,7.8958,"Southampton"
"225","Si","Upper","male",38,1,0,90,"Southampton"
"226","No","Lower","male",22,0,0,9.35,"Southampton"
"227","Si","Middle","male",19,0,0,10.5,"Southampton"
"228","No","Lower","male",20.5,0,0,7.25,"Southampton"
"229","No","Middle","male",18,0,0,13,"Southampton"
"230","No","Lower","female",6,3,1,25.4667,"Southampton"
"231","Si","Upper","female",35,1,0,83.475,"Southampton"
"232","No","Lower","male",29,0,0,7.775,"Southampton"
"233","No","Middle","male",59,0,0,13.5,"Southampton"
"234","Si","Lower","female",5,4,2,31.3875,"Southampton"
"235","No","Middle","male",24,0,0,10.5,"Southampton"
"236","No","Lower","female",24,0,0,7.55,"Southampton"
"237","No","Middle","male",44,1,0,26,"Southampton"
"238","Si","Middle","female",8,0,2,26.25,"Southampton"
"239","No","Middle","male",19,0,0,10.5,"Southampton"
"240","No","Middle","male",33,0,0,12.275,"Southampton"
"241","No","Lower","female",18,1,0,14.4542,"Cherbourg"
"242","Si","Lower","female",24,1,0,15.5,"Queenstown"
"243","No","Middle","male",29,0,0,10.5,"Southampton"
"244","No","Lower","male",22,0,0,7.125,"Southampton"
"245","No","Lower","male",30,0,0,7.225,"Cherbourg"
"246","No","Upper","male",44,2,0,90,"Queenstown"
"247","No","Lower","female",25,0,0,7.775,"Southampton"
"248","Si","Middle","female",24,0,2,14.5,"Southampton"
"249","Si","Upper","male",37,1,1,52.5542,"Southampton"
"250","No","Middle","male",54,1,0,26,"Southampton"
"251","No","Lower","male",22,0,0,7.25,"Southampton"
"252","No","Lower","female",29,1,1,10.4625,"Southampton"
"253","No","Upper","male",62,0,0,26.55,"Southampton"
"254","No","Lower","male",30,1,0,16.1,"Southampton"
"255","No","Lower","female",41,0,2,20.2125,"Southampton"
"256","Si","Lower","female",29,0,2,15.2458,"Cherbourg"
"257","Si","Upper","female",38,0,0,79.2,"Cherbourg"
"258","Si","Upper","female",30,0,0,86.5,"Southampton"
"259","Si","Upper","female",35,0,0,512.3292,"Cherbourg"
"260","Si","Middle","female",50,0,1,26,"Southampton"
"261","No","Lower","male",51,0,0,7.75,"Queenstown"
"262","Si","Lower","male",3,4,2,31.3875,"Southampton"
"263","No","Upper","male",52,1,1,79.65,"Southampton"
"264","No","Upper","male",40,0,0,27.7208,"Southampton"
"265","No","Lower","female",51,0,0,7.75,"Queenstown"
"266","No","Middle","male",36,0,0,10.5,"Southampton"
"267","No","Lower","male",16,4,1,39.6875,"Southampton"
"268","Si","Lower","male",25,1,0,7.775,"Southampton"
"269","Si","Upper","female",58,0,1,153.4625,"Southampton"
"270","Si","Upper","female",35,0,0,135.6333,"Southampton"
"271","No","Upper","male",41,0,0,31,"Southampton"
"272","Si","Lower","male",25,0,0,7.775,"Southampton"
"273","Si","Middle","female",41,0,1,19.5,"Southampton"
"274","No","Upper","male",37,0,1,29.7,"Cherbourg"
"275","Si","Lower","female",22,0,0,7.75,"Queenstown"
"276","Si","Upper","female",63,1,0,77.9583,"Southampton"
"277","No","Lower","female",45,0,0,7.75,"Southampton"
"278","No","Middle","male",39,0,0,13,"Southampton"
"279","No","Lower","male",7,4,1,29.125,"Queenstown"
"280","Si","Lower","female",35,1,1,20.25,"Southampton"
"281","No","Lower","male",65,0,0,7.75,"Queenstown"
"282","No","Lower","male",28,0,0,7.8542,"Southampton"
"283","No","Lower","male",16,0,0,9.5,"Southampton"
"284","Si","Lower","male",19,0,0,8.05,"Southampton"
"285","No","Upper","male",46,0,0,26,"Southampton"
"286","No","Lower","male",33,0,0,8.6625,"Cherbourg"
"287","Si","Lower","male",30,0,0,9.5,"Southampton"
"288","No","Lower","male",22,0,0,7.8958,"Southampton"
"289","Si","Middle","male",42,0,0,13,"Southampton"
"290","Si","Lower","female",22,0,0,7.75,"Queenstown"
"291","Si","Upper","female",26,0,0,78.85,"Southampton"
"292","Si","Upper","female",19,1,0,91.0792,"Cherbourg"
"293","No","Middle","male",36,0,0,12.875,"Cherbourg"
"294","No","Lower","female",24,0,0,8.85,"Southampton"
"295","No","Lower","male",24,0,0,7.8958,"Southampton"
"296","No","Upper","male",40,0,0,27.7208,"Cherbourg"
"297","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"298","No","Upper","female",2,1,2,151.55,"Southampton"
"299","Si","Upper","male",41,0,0,30.5,"Southampton"
"300","Si","Upper","female",50,0,1,247.5208,"Cherbourg"
"301","Si","Lower","female",22,0,0,7.75,"Queenstown"
"302","Si","Lower","male",53,2,0,23.25,"Queenstown"
"303","No","Lower","male",19,0,0,8.1583,"Southampton"
"304","Si","Middle","female",35,0,0,12.35,"Queenstown"
"305","No","Lower","male",24,0,0,8.05,"Southampton"
"306","Si","Upper","male",0.92,1,2,151.55,"Southampton"
"307","Si","Upper","female",31,0,0,110.8833,"Cherbourg"
"308","Si","Upper","female",17,1,0,108.9,"Cherbourg"
"309","No","Middle","male",30,1,0,24,"Cherbourg"
"310","Si","Upper","female",30,0,0,56.9292,"Cherbourg"
"311","Si","Upper","female",24,0,0,83.1583,"Cherbourg"
"312","Si","Upper","female",18,2,2,262.375,"Cherbourg"
"313","No","Middle","female",26,1,1,26,"Southampton"
"314","No","Lower","male",28,0,0,7.8958,"Southampton"
"315","No","Middle","male",43,1,1,26.25,"Southampton"
"316","Si","Lower","female",26,0,0,7.8542,"Southampton"
"317","Si","Middle","female",24,1,0,26,"Southampton"
"318","No","Middle","male",54,0,0,14,"Southampton"
"319","Si","Upper","female",31,0,2,164.8667,"Southampton"
"320","Si","Upper","female",40,1,1,134.5,"Cherbourg"
"321","No","Lower","male",22,0,0,7.25,"Southampton"
"322","No","Lower","male",27,0,0,7.8958,"Southampton"
"323","Si","Middle","female",30,0,0,12.35,"Queenstown"
"324","Si","Middle","female",22,1,1,29,"Southampton"
"325","No","Lower","male",11,8,2,69.55,"Southampton"
"326","Si","Upper","female",36,0,0,135.6333,"Cherbourg"
"327","No","Lower","male",61,0,0,6.2375,"Southampton"
"328","Si","Middle","female",36,0,0,13,"Southampton"
"329","Si","Lower","female",31,1,1,20.525,"Southampton"
"330","Si","Upper","female",16,0,1,57.9792,"Cherbourg"
"331","Si","Lower","female",53,2,0,23.25,"Queenstown"
"332","No","Upper","male",45.5,0,0,28.5,"Southampton"
"333","No","Upper","male",38,0,1,153.4625,"Southampton"
"334","No","Lower","male",16,2,0,18,"Southampton"
"335","Si","Upper","female",26,1,0,133.65,"Southampton"
"336","No","Lower","male",33,0,0,7.8958,"Southampton"
"337","No","Upper","male",29,1,0,66.6,"Southampton"
"338","Si","Upper","female",41,0,0,134.5,"Cherbourg"
"339","Si","Lower","male",45,0,0,8.05,"Southampton"
"340","No","Upper","male",45,0,0,35.5,"Southampton"
"341","Si","Middle","male",2,1,1,26,"Southampton"
"342","Si","Upper","female",24,3,2,263,"Southampton"
"343","No","Middle","male",28,0,0,13,"Southampton"
"344","No","Middle","male",25,0,0,13,"Southampton"
"345","No","Middle","male",36,0,0,13,"Southampton"
"346","Si","Middle","female",24,0,0,13,"Southampton"
"347","Si","Middle","female",40,0,0,13,"Southampton"
"348","Si","Lower","female",24,1,0,16.1,"Southampton"
"349","Si","Lower","male",3,1,1,15.9,"Southampton"
"350","No","Lower","male",42,0,0,8.6625,"Southampton"
"351","No","Lower","male",23,0,0,9.225,"Southampton"
"352","No","Upper","male",61,0,0,35,"Southampton"
"353","No","Lower","male",15,1,1,7.2292,"Cherbourg"
"354","No","Lower","male",25,1,0,17.8,"Southampton"
"355","No","Lower","male",30,0,0,7.225,"Cherbourg"
"356","No","Lower","male",28,0,0,9.5,"Southampton"
"357","Si","Upper","female",22,0,1,55,"Southampton"
"358","No","Middle","female",38,0,0,13,"Southampton"
"359","Si","Lower","female",26,0,0,7.8792,"Queenstown"
"360","Si","Lower","female",26,0,0,7.8792,"Queenstown"
"361","No","Lower","male",40,1,4,27.9,"Southampton"
"362","No","Middle","male",29,1,0,27.7208,"Cherbourg"
"363","No","Lower","female",45,0,1,14.4542,"Cherbourg"
"364","No","Lower","male",35,0,0,7.05,"Southampton"
"365","No","Lower","male",30,1,0,15.5,"Queenstown"
"366","No","Lower","male",30,0,0,7.25,"Southampton"
"367","Si","Upper","female",60,1,0,75.25,"Cherbourg"
"368","Si","Lower","female",20,0,0,7.2292,"Cherbourg"
"369","Si","Lower","female",22,0,0,7.75,"Queenstown"
"370","Si","Upper","female",24,0,0,69.3,"Cherbourg"
"371","Si","Upper","male",25,1,0,55.4417,"Cherbourg"
"372","No","Lower","male",18,1,0,6.4958,"Southampton"
"373","No","Lower","male",19,0,0,8.05,"Southampton"
"374","No","Upper","male",22,0,0,135.6333,"Cherbourg"
"375","No","Lower","female",3,3,1,21.075,"Southampton"
"376","Si","Upper","female",35,1,0,82.1708,"Cherbourg"
"377","Si","Lower","female",22,0,0,7.25,"Southampton"
"378","No","Upper","male",27,0,2,211.5,"Cherbourg"
"379","No","Lower","male",20,0,0,4.0125,"Cherbourg"
"380","No","Lower","male",19,0,0,7.775,"Southampton"
"381","Si","Upper","female",42,0,0,227.525,"Cherbourg"
"382","Si","Lower","female",1,0,2,15.7417,"Cherbourg"
"383","No","Lower","male",32,0,0,7.925,"Southampton"
"384","Si","Upper","female",35,1,0,52,"Southampton"
"385","No","Lower","male",33,0,0,7.8958,"Southampton"
"386","No","Middle","male",18,0,0,73.5,"Southampton"
"387","No","Lower","male",1,5,2,46.9,"Southampton"
"388","Si","Middle","female",36,0,0,13,"Southampton"
"389","No","Lower","male",31,0,0,7.7292,"Queenstown"
"390","Si","Middle","female",17,0,0,12,"Cherbourg"
"391","Si","Upper","male",36,1,2,120,"Southampton"
"392","Si","Lower","male",21,0,0,7.7958,"Southampton"
"393","No","Lower","male",28,2,0,7.925,"Southampton"
"394","Si","Upper","female",23,1,0,113.275,"Cherbourg"
"395","Si","Lower","female",24,0,2,16.7,"Southampton"
"396","No","Lower","male",22,0,0,7.7958,"Southampton"
"397","No","Lower","female",31,0,0,7.8542,"Southampton"
"398","No","Middle","male",46,0,0,26,"Southampton"
"399","No","Middle","male",23,0,0,10.5,"Southampton"
"400","Si","Middle","female",28,0,0,12.65,"Southampton"
"401","Si","Lower","male",39,0,0,7.925,"Southampton"
"402","No","Lower","male",26,0,0,8.05,"Southampton"
"403","No","Lower","female",21,1,0,9.825,"Southampton"
"404","No","Lower","male",28,1,0,15.85,"Southampton"
"405","No","Lower","female",20,0,0,8.6625,"Southampton"
"406","No","Middle","male",34,1,0,21,"Southampton"
"407","No","Lower","male",51,0,0,7.75,"Southampton"
"408","Si","Middle","male",3,1,1,18.75,"Southampton"
"409","No","Lower","male",21,0,0,7.775,"Southampton"
"410","No","Lower","female",6,3,1,25.4667,"Southampton"
"411","No","Lower","male",33,0,0,7.8958,"Southampton"
"412","No","Lower","male",20,0,0,6.8583,"Queenstown"
"413","Si","Upper","female",33,1,0,90,"Queenstown"
"414","No","Middle","male",39,0,0,13,"Southampton"
"415","Si","Lower","male",44,0,0,7.925,"Southampton"
"416","No","Lower","female",24,0,0,8.05,"Southampton"
"417","Si","Middle","female",34,1,1,32.5,"Southampton"
"418","Si","Middle","female",18,0,2,13,"Southampton"
"419","No","Middle","male",30,0,0,13,"Southampton"
"420","No","Lower","female",10,0,2,24.15,"Southampton"
"421","No","Lower","male",33,0,0,7.8958,"Cherbourg"
"422","No","Lower","male",21,0,0,7.7333,"Queenstown"
"423","No","Lower","male",29,0,0,7.875,"Southampton"
"424","No","Lower","female",28,1,1,14.4,"Southampton"
"425","No","Lower","male",18,1,1,20.2125,"Southampton"
"426","No","Lower","male",22,0,0,7.25,"Southampton"
"427","Si","Middle","female",28,1,0,26,"Southampton"
"428","Si","Middle","female",19,0,0,26,"Southampton"
"429","No","Lower","male",51,0,0,7.75,"Queenstown"
"430","Si","Lower","male",32,0,0,8.05,"Southampton"
"431","Si","Upper","male",28,0,0,26.55,"Southampton"
"432","Si","Lower","female",24,1,0,16.1,"Southampton"
"433","Si","Middle","female",42,1,0,26,"Southampton"
"434","No","Lower","male",17,0,0,7.125,"Southampton"
"435","No","Upper","male",50,1,0,55.9,"Southampton"
"436","Si","Upper","female",14,1,2,120,"Southampton"
"437","No","Lower","female",21,2,2,34.375,"Southampton"
"438","Si","Middle","female",24,2,3,18.75,"Southampton"
