"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"877","No","Lower","male",20,0,0,9.8458,"Southampton"
"878","No","Lower","male",19,0,0,7.8958,"Southampton"
"879","No","Lower","male",33,0,0,7.8958,"Southampton"
"880","Si","Upper","female",56,0,1,83.1583,"Cherbourg"
"881","Si","Middle","female",25,0,1,26,"Southampton"
"882","No","Lower","male",33,0,0,7.8958,"Southampton"
"883","No","Lower","female",22,0,0,10.5167,"Southampton"
"884","No","Middle","male",28,0,0,10.5,"Southampton"
"885","No","Lower","male",25,0,0,7.05,"Southampton"
"886","No","Lower","female",39,0,5,29.125,"Queenstown"
"887","No","Middle","male",27,0,0,13,"Southampton"
"888","Si","Upper","female",19,0,0,30,"Southampton"
"889","No","Lower","female",26,1,2,23.45,"Southampton"
"890","Si","Upper","male",26,0,0,30,"Cherbourg"
"891","No","Lower","male",32,0,0,7.75,"Queenstown"
"892","No","Lower","male",34.5,0,0,7.8292,"Queenstown"
"893","Si","Lower","female",47,1,0,7,"Southampton"
"894","No","Middle","male",62,0,0,9.6875,"Queenstown"
"895","No","Lower","male",27,0,0,8.6625,"Southampton"
"896","Si","Lower","female",22,1,1,12.2875,"Southampton"
"897","No","Lower","male",14,0,0,9.225,"Southampton"
"898","Si","Lower","female",30,0,0,7.6292,"Queenstown"
"899","No","Middle","male",26,1,1,29,"Southampton"
"900","Si","Lower","female",18,0,0,7.2292,"Cherbourg"
"901","No","Lower","male",21,2,0,24.15,"Southampton"
"902","No","Lower","male",33,0,0,7.8958,"Southampton"
"903","No","Upper","male",46,0,0,26,"Southampton"
"904","Si","Upper","female",23,1,0,82.2667,"Southampton"
"905","No","Middle","male",63,1,0,26,"Southampton"
"906","Si","Upper","female",47,1,0,61.175,"Southampton"
"907","Si","Middle","female",24,1,0,27.7208,"Cherbourg"
"908","No","Middle","male",35,0,0,12.35,"Queenstown"
"909","No","Lower","male",21,0,0,7.225,"Cherbourg"
"910","Si","Lower","female",27,1,0,7.925,"Southampton"
"911","Si","Lower","female",45,0,0,7.225,"Cherbourg"
"912","No","Upper","male",55,1,0,59.4,"Cherbourg"
"913","No","Lower","male",9,0,1,3.1708,"Southampton"
"914","Si","Upper","female",36,0,0,31.6833,"Southampton"
"915","No","Upper","male",21,0,1,61.3792,"Cherbourg"
"916","Si","Upper","female",48,1,3,262.375,"Cherbourg"
"917","No","Lower","male",50,1,0,14.5,"Southampton"
"918","Si","Upper","female",22,0,1,61.9792,"Cherbourg"
"919","No","Lower","male",22.5,0,0,7.225,"Cherbourg"
"920","No","Upper","male",41,0,0,30.5,"Southampton"
"921","No","Lower","male",21,2,0,21.6792,"Cherbourg"
"922","No","Middle","male",50,1,0,26,"Southampton"
"923","No","Middle","male",24,2,0,31.5,"Southampton"
"924","Si","Lower","female",33,1,2,20.575,"Southampton"
"925","Si","Lower","female",5,1,2,23.45,"Southampton"
"926","No","Upper","male",30,1,0,57.75,"Cherbourg"
"927","No","Lower","male",18.5,0,0,7.2292,"Cherbourg"
"928","Si","Lower","female",19,0,0,8.05,"Southampton"
"929","Si","Lower","female",21,0,0,8.6625,"Southampton"
"930","No","Lower","male",25,0,0,9.5,"Southampton"
"931","No","Lower","male",32,0,0,56.4958,"Southampton"
"932","No","Lower","male",39,0,1,13.4167,"Cherbourg"
"933","No","Upper","male",62,0,0,26.55,"Southampton"
"934","No","Lower","male",41,0,0,7.85,"Southampton"
"935","Si","Middle","female",30,0,0,13,"Southampton"
"936","Si","Upper","female",45,1,0,52.5542,"Southampton"
"937","No","Lower","male",25,0,0,7.925,"Southampton"
"938","No","Upper","male",45,0,0,29.7,"Cherbourg"
"939","No","Lower","male",51,0,0,7.75,"Queenstown"
"940","Si","Upper","female",60,0,0,76.2917,"Cherbourg"
"941","Si","Lower","female",36,0,2,15.9,"Southampton"
"942","No","Upper","male",24,1,0,60,"Southampton"
"943","No","Middle","male",27,0,0,15.0333,"Cherbourg"
"944","Si","Middle","female",20,2,1,23,"Southampton"
"945","Si","Upper","female",28,3,2,263,"Southampton"
"946","No","Middle","male",28.5,0,0,15.5792,"Cherbourg"
"947","No","Lower","male",10,4,1,29.125,"Queenstown"
"948","No","Lower","male",35,0,0,7.8958,"Southampton"
"949","No","Lower","male",25,0,0,7.65,"Southampton"
"950","No","Lower","male",26,1,0,16.1,"Southampton"
"951","Si","Upper","female",36,0,0,262.375,"Cherbourg"
"952","No","Lower","male",17,0,0,7.8958,"Southampton"
"953","No","Middle","male",32,0,0,13.5,"Southampton"
"954","No","Lower","male",18,0,0,7.75,"Southampton"
"955","Si","Lower","female",22,0,0,7.725,"Queenstown"
"956","No","Upper","male",13,2,2,262.375,"Cherbourg"
"957","Si","Middle","female",31,0,0,21,"Southampton"
"958","Si","Lower","female",18,0,0,7.8792,"Queenstown"
"959","No","Upper","male",47,0,0,42.4,"Southampton"
"960","No","Upper","male",31,0,0,28.5375,"Cherbourg"
"961","Si","Upper","female",60,1,4,263,"Southampton"
"962","Si","Lower","female",24,0,0,7.75,"Queenstown"
"963","No","Lower","male",21,0,0,7.8958,"Southampton"
"964","Si","Lower","female",29,0,0,7.925,"Southampton"
"965","No","Upper","male",28.5,0,0,27.7208,"Cherbourg"
"966","Si","Upper","female",35,0,0,211.5,"Cherbourg"
"967","No","Upper","male",32.5,0,0,211.5,"Cherbourg"
"968","No","Lower","male",24,0,0,8.05,"Southampton"
"969","Si","Upper","female",55,2,0,25.7,"Southampton"
"970","No","Middle","male",30,0,0,13,"Southampton"
"971","Si","Lower","female",24,0,0,7.75,"Queenstown"
"972","No","Lower","male",6,1,1,15.2458,"Cherbourg"
"973","No","Upper","male",67,1,0,221.7792,"Southampton"
"974","No","Upper","male",49,0,0,26,"Southampton"
"975","No","Lower","male",33,0,0,7.8958,"Southampton"
"976","No","Middle","male",30,0,0,10.7083,"Queenstown"
"977","No","Lower","male",18,1,0,14.4542,"Cherbourg"
"978","Si","Lower","female",27,0,0,7.8792,"Queenstown"
"979","Si","Lower","female",18,0,0,8.05,"Southampton"
"980","Si","Lower","female",22,0,0,7.75,"Queenstown"
"981","No","Middle","male",2,1,1,23,"Southampton"
"982","Si","Lower","female",22,1,0,13.9,"Southampton"
"983","No","Lower","male",25,0,0,7.775,"Southampton"
"984","Si","Upper","female",27,1,2,52,"Southampton"
"985","No","Lower","male",24,0,0,8.05,"Southampton"
"986","No","Upper","male",25,0,0,26,"Cherbourg"
"987","No","Lower","male",25,0,0,7.7958,"Southampton"
"988","Si","Upper","female",76,1,0,78.85,"Southampton"
"989","No","Lower","male",29,0,0,7.925,"Southampton"
"990","Si","Lower","female",20,0,0,7.8542,"Southampton"
"991","No","Lower","male",33,0,0,8.05,"Southampton"
"992","Si","Upper","female",43,1,0,55.4417,"Cherbourg"
"993","No","Middle","male",27,1,0,26,"Southampton"
"994","No","Lower","male",51,0,0,7.75,"Queenstown"
"995","No","Lower","male",26,0,0,7.775,"Southampton"
"996","Si","Lower","female",16,1,1,8.5167,"Cherbourg"
"997","No","Lower","male",28,0,0,22.525,"Southampton"
"998","No","Lower","male",21,0,0,7.8208,"Queenstown"
"999","No","Lower","male",51,0,0,7.75,"Queenstown"
"1000","No","Lower","male",33,0,0,8.7125,"Southampton"
"1001","No","Middle","male",18.5,0,0,13,"Southampton"
"1002","No","Middle","male",41,0,0,15.0458,"Cherbourg"
"1003","Si","Lower","female",22,0,0,7.7792,"Queenstown"
"1004","Si","Upper","female",36,0,0,31.6792,"Cherbourg"
"1005","Si","Lower","female",18.5,0,0,7.2833,"Queenstown"
"1006","Si","Upper","female",63,1,0,221.7792,"Southampton"
"1007","No","Lower","male",18,1,0,14.4542,"Cherbourg"
"1008","No","Lower","male",34.5,0,0,6.4375,"Cherbourg"
"1009","Si","Lower","female",1,1,1,16.7,"Southampton"
"1010","No","Upper","male",36,0,0,75.2417,"Cherbourg"
"1011","Si","Middle","female",29,1,0,26,"Southampton"
"1012","Si","Middle","female",12,0,0,15.75,"Southampton"
"1013","No","Lower","male",25,1,0,7.75,"Queenstown"
"1014","Si","Upper","female",35,1,0,57.75,"Cherbourg"
"1015","No","Lower","male",28,0,0,7.25,"Southampton"
"1016","No","Lower","male",51,0,0,7.75,"Queenstown"
"1017","Si","Lower","female",17,0,1,16.1,"Southampton"
"1018","No","Lower","male",22,0,0,7.7958,"Southampton"
"1019","Si","Lower","female",53,2,0,23.25,"Queenstown"
"1020","No","Middle","male",42,0,0,13,"Southampton"
"1021","No","Lower","male",24,0,0,8.05,"Southampton"
"1022","No","Lower","male",32,0,0,8.05,"Southampton"
"1023","No","Upper","male",53,0,0,28.5,"Cherbourg"
"1024","Si","Lower","female",29,0,4,25.4667,"Southampton"
"1025","No","Lower","male",21,1,0,6.4375,"Cherbourg"
"1026","No","Lower","male",43,0,0,7.8958,"Southampton"
"1027","No","Lower","male",24,0,0,7.8542,"Southampton"
"1028","No","Lower","male",26.5,0,0,7.225,"Cherbourg"
"1029","No","Middle","male",26,0,0,13,"Southampton"
"1030","Si","Lower","female",23,0,0,8.05,"Southampton"
"1031","No","Lower","male",40,1,6,46.9,"Southampton"
"1032","Si","Lower","female",10,5,2,46.9,"Southampton"
"1033","Si","Upper","female",33,0,0,151.55,"Southampton"
"1034","No","Upper","male",61,1,3,262.375,"Cherbourg"
"1035","No","Middle","male",28,0,0,26,"Southampton"
"1036","No","Upper","male",42,0,0,26.55,"Southampton"
"1037","No","Lower","male",31,3,0,18,"Southampton"
"1038","No","Upper","male",48,0,0,51.8625,"Southampton"
"1039","No","Lower","male",22,0,0,8.05,"Southampton"
"1040","No","Upper","male",62,0,0,26.55,"Southampton"
"1041","No","Middle","male",30,1,1,26,"Southampton"
"1042","Si","Upper","female",23,0,1,83.1583,"Cherbourg"
"1043","No","Lower","male",33,0,0,7.8958,"Cherbourg"
"1044","No","Lower","male",60.5,0,0,32.3208,"Southampton"
"1045","Si","Lower","female",36,0,2,12.1833,"Southampton"
"1046","No","Lower","male",13,4,2,31.3875,"Southampton"
"1047","No","Lower","male",24,0,0,7.55,"Southampton"
"1048","Si","Upper","female",29,0,0,221.7792,"Southampton"
"1049","Si","Lower","female",23,0,0,7.8542,"Southampton"
"1050","No","Upper","male",42,0,0,26.55,"Southampton"
"1051","Si","Lower","female",26,0,2,13.775,"Southampton"
"1052","Si","Lower","female",21,0,0,7.7333,"Queenstown"
"1053","No","Lower","male",7,1,1,15.2458,"Cherbourg"
"1054","Si","Middle","female",26,0,0,13.5,"Southampton"
"1055","No","Lower","male",35,0,0,7,"Southampton"
"1056","No","Middle","male",41,0,0,13,"Southampton"
"1057","Si","Lower","female",26,1,1,22.025,"Southampton"
"1058","No","Upper","male",48,0,0,50.4958,"Cherbourg"
"1059","No","Lower","male",18,2,2,34.375,"Southampton"
"1060","Si","Upper","female",40,0,0,27.7208,"Cherbourg"
"1061","Si","Lower","female",22,0,0,8.9625,"Southampton"
"1062","No","Lower","male",24,0,0,7.55,"Southampton"
"1063","No","Lower","male",27,0,0,7.225,"Cherbourg"
"1064","No","Lower","male",23,1,0,13.9,"Southampton"
"1065","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"1066","No","Lower","male",40,1,5,31.3875,"Southampton"
"1067","Si","Middle","female",15,0,2,39,"Southampton"
"1068","Si","Middle","female",20,0,0,36.75,"Southampton"
"1069","No","Upper","male",54,1,0,55.4417,"Cherbourg"
"1070","Si","Middle","female",36,0,3,39,"Southampton"
"1071","Si","Upper","female",64,0,2,83.1583,"Cherbourg"
"1072","No","Middle","male",30,0,0,13,"Southampton"
"1073","No","Upper","male",37,1,1,83.1583,"Cherbourg"
"1074","Si","Upper","female",18,1,0,53.1,"Southampton"
"1075","No","Lower","male",51,0,0,7.75,"Queenstown"
"1076","Si","Upper","female",27,1,1,247.5208,"Cherbourg"
"1077","No","Middle","male",40,0,0,16,"Southampton"
"1078","Si","Middle","female",21,0,1,21,"Southampton"
"1079","No","Lower","male",17,2,0,8.05,"Southampton"
"1080","Si","Lower","female",10,8,2,69.55,"Southampton"
"1081","No","Middle","male",40,0,0,13,"Southampton"
"1082","No","Middle","male",34,1,0,26,"Southampton"
"1083","No","Upper","male",46,0,0,26,"Southampton"
"1084","No","Lower","male",11.5,1,1,14.5,"Southampton"
"1085","No","Middle","male",61,0,0,12.35,"Queenstown"
"1086","No","Middle","male",8,0,2,32.5,"Southampton"
"1087","No","Lower","male",33,0,0,7.8542,"Southampton"
"1088","No","Upper","male",6,0,2,134.5,"Cherbourg"
"1089","Si","Lower","female",18,0,0,7.775,"Southampton"
"1090","No","Middle","male",23,0,0,10.5,"Southampton"
"1091","Si","Lower","female",19,0,0,8.1125,"Southampton"
"1092","Si","Lower","female",40,0,0,15.5,"Queenstown"
"1093","No","Lower","male",0.33,0,2,14.4,"Southampton"
"1094","No","Upper","male",47,1,0,227.525,"Cherbourg"
"1095","Si","Middle","female",8,1,1,26,"Southampton"
"1096","No","Middle","male",25,0,0,10.5,"Southampton"
"1097","No","Upper","male",46,0,0,25.7417,"Cherbourg"
"1098","Si","Lower","female",35,0,0,7.75,"Queenstown"
"1099","No","Middle","male",24,0,0,10.5,"Southampton"
"1100","Si","Upper","female",33,0,0,27.7208,"Cherbourg"
"1101","No","Lower","male",25,0,0,7.8958,"Southampton"
"1102","No","Lower","male",32,0,0,22.525,"Southampton"
"1103","No","Lower","male",25,0,0,7.05,"Southampton"
"1104","No","Middle","male",17,0,0,73.5,"Southampton"
"1105","Si","Middle","female",60,1,0,26,"Southampton"
"1106","Si","Lower","female",38,4,2,7.775,"Southampton"
"1107","No","Upper","male",42,0,0,42.5,"Southampton"
"1108","Si","Lower","female",26,0,0,7.8792,"Queenstown"
"1109","No","Upper","male",57,1,1,164.8667,"Southampton"
"1110","Si","Upper","female",50,1,1,211.5,"Cherbourg"
"1111","No","Lower","male",24,0,0,8.05,"Southampton"
"1112","Si","Middle","female",30,1,0,13.8583,"Cherbourg"
"1113","No","Lower","male",21,0,0,8.05,"Southampton"
"1114","Si","Middle","female",22,0,0,10.5,"Southampton"
"1115","No","Lower","male",21,0,0,7.7958,"Southampton"
"1116","Si","Upper","female",53,0,0,27.4458,"Cherbourg"
"1117","Si","Lower","female",24,0,2,15.2458,"Cherbourg"
"1118","No","Lower","male",23,0,0,7.7958,"Southampton"
"1119","Si","Lower","female",22,0,0,7.75,"Queenstown"
"1120","No","Lower","male",40.5,0,0,15.1,"Southampton"
"1121","No","Middle","male",36,0,0,13,"Southampton"
"1122","No","Middle","male",14,0,0,65,"Southampton"
"1123","Si","Upper","female",21,0,0,26.55,"Southampton"
"1124","No","Lower","male",21,1,0,6.4958,"Southampton"
"1125","No","Lower","male",26,0,0,7.8792,"Queenstown"
"1126","No","Upper","male",39,1,0,71.2833,"Cherbourg"
"1127","No","Lower","male",20,0,0,7.8542,"Southampton"
"1128","No","Upper","male",64,1,0,75.25,"Cherbourg"
"1129","No","Lower","male",20,0,0,7.225,"Cherbourg"
"1130","Si","Middle","female",18,1,1,13,"Southampton"
"1131","Si","Upper","female",48,1,0,106.425,"Cherbourg"
"1132","Si","Upper","female",55,0,0,27.7208,"Cherbourg"
"1133","Si","Middle","female",45,0,2,30,"Southampton"
"1134","No","Upper","male",45,1,1,134.5,"Cherbourg"
"1135","No","Lower","male",28,0,0,7.8875,"Southampton"
"1136","No","Lower","male",26,1,2,23.45,"Southampton"
"1137","No","Upper","male",41,1,0,51.8625,"Southampton"
"1138","Si","Middle","female",22,0,0,21,"Southampton"
"1139","No","Middle","male",42,1,1,32.5,"Southampton"
"1140","Si","Middle","female",29,1,0,26,"Southampton"
"1141","Si","Lower","female",18,1,0,14.4542,"Cherbourg"
"1142","Si","Middle","female",0.92,1,2,27.75,"Southampton"
"1143","No","Lower","male",20,0,0,7.925,"Southampton"
"1144","No","Upper","male",27,1,0,136.7792,"Cherbourg"
"1145","No","Lower","male",24,0,0,9.325,"Southampton"
"1146","No","Lower","male",32.5,0,0,9.5,"Southampton"
"1147","No","Lower","male",24,0,0,7.55,"Southampton"
"1148","No","Lower","male",51,0,0,7.75,"Queenstown"
"1149","No","Lower","male",28,0,0,8.05,"Southampton"
"1150","Si","Middle","female",19,0,0,13,"Southampton"
"1151","No","Lower","male",21,0,0,7.775,"Southampton"
"1152","No","Lower","male",36.5,1,0,17.4,"Southampton"
"1153","No","Lower","male",21,0,0,7.8542,"Southampton"
"1154","Si","Middle","female",29,0,2,23,"Southampton"
"1155","Si","Lower","female",1,1,1,12.1833,"Southampton"
"1156","No","Middle","male",30,0,0,12.7375,"Cherbourg"
"1157","No","Lower","male",33,0,0,7.8958,"Southampton"
"1158","No","Upper","male",39,0,0,13,"Southampton"
"1159","No","Lower","male",24,0,0,7.55,"Southampton"
"1160","Si","Lower","female",19,0,0,8.05,"Southampton"
"1161","No","Lower","male",17,0,0,8.6625,"Southampton"
"1162","No","Upper","male",46,0,0,75.2417,"Cherbourg"
"1163","No","Lower","male",51,0,0,7.75,"Queenstown"
"1164","Si","Upper","female",26,1,0,136.7792,"Cherbourg"
"1165","Si","Lower","female",24,1,0,15.5,"Queenstown"
"1166","No","Lower","male",30,0,0,7.225,"Cherbourg"
"1167","Si","Middle","female",20,1,0,26,"Southampton"
"1168","No","Middle","male",28,0,0,10.5,"Southampton"
"1169","No","Middle","male",40,1,0,26,"Southampton"
"1170","No","Middle","male",30,1,0,21,"Southampton"
"1171","No","Middle","male",22,0,0,10.5,"Southampton"
"1172","Si","Lower","female",23,0,0,8.6625,"Southampton"
"1173","No","Lower","male",0.75,1,1,13.775,"Southampton"
"1174","Si","Lower","female",22,0,0,7.75,"Queenstown"
"1175","Si","Lower","female",9,1,1,15.2458,"Cherbourg"
"1176","Si","Lower","female",2,1,1,20.2125,"Southampton"
"1177","No","Lower","male",36,0,0,7.25,"Southampton"
"1178","No","Lower","male",22,0,0,7.25,"Southampton"
"1179","No","Upper","male",24,1,0,82.2667,"Southampton"
"1180","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"1181","No","Lower","male",24,0,0,8.05,"Southampton"
"1182","No","Upper","male",45,0,0,39.6,"Southampton"
"1183","Si","Lower","female",30,0,0,6.95,"Queenstown"
"1184","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"1185","No","Upper","male",53,1,1,81.8583,"Southampton"
"1186","No","Lower","male",36,0,0,9.5,"Southampton"
"1187","No","Lower","male",26,0,0,7.8958,"Southampton"
"1188","Si","Middle","female",1,1,2,41.5792,"Cherbourg"
"1189","No","Lower","male",21,2,0,21.6792,"Cherbourg"
"1190","No","Upper","male",30,0,0,45.5,"Southampton"
"1191","No","Lower","male",29,0,0,7.8542,"Southampton"
"1192","No","Lower","male",32,0,0,7.775,"Southampton"
"1193","No","Middle","male",40.5,0,0,15.0458,"Cherbourg"
"1194","No","Middle","male",43,0,1,21,"Southampton"
"1195","No","Lower","male",24,0,0,8.6625,"Southampton"
"1196","Si","Lower","female",22,0,0,7.75,"Queenstown"
"1197","Si","Upper","female",64,1,1,26.55,"Southampton"
"1198","No","Upper","male",30,1,2,151.55,"Southampton"
"1199","No","Lower","male",0.83,0,1,9.35,"Southampton"
"1200","No","Upper","male",55,1,1,93.5,"Southampton"
"1201","Si","Lower","female",45,1,0,14.1083,"Southampton"
"1202","No","Lower","male",18,0,0,8.6625,"Southampton"
"1203","No","Lower","male",22,0,0,7.225,"Cherbourg"
"1204","No","Lower","male",25,0,0,7.575,"Southampton"
"1205","Si","Lower","female",37,0,0,7.75,"Queenstown"
"1206","Si","Upper","female",55,0,0,135.6333,"Cherbourg"
"1207","Si","Lower","female",17,0,0,7.7333,"Queenstown"
"1208","No","Upper","male",57,1,0,146.5208,"Cherbourg"
"1209","No","Middle","male",19,0,0,10.5,"Southampton"
"1210","No","Lower","male",27,0,0,7.8542,"Southampton"
"1211","No","Middle","male",22,2,0,31.5,"Southampton"
"1212","No","Lower","male",26,0,0,7.775,"Southampton"
"1213","No","Lower","male",25,0,0,7.2292,"Cherbourg"
"1214","No","Middle","male",26,0,0,13,"Southampton"
"1215","No","Upper","male",33,0,0,26.55,"Southampton"
"1216","Si","Upper","female",39,0,0,211.3375,"Southampton"
"1217","No","Lower","male",23,0,0,7.05,"Southampton"
"1218","Si","Middle","female",12,2,1,39,"Southampton"
"1219","No","Upper","male",46,0,0,79.2,"Cherbourg"
"1220","No","Middle","male",29,1,0,26,"Southampton"
"1221","No","Middle","male",21,0,0,13,"Southampton"
"1222","Si","Middle","female",48,0,2,36.75,"Southampton"
"1223","No","Upper","male",39,0,0,29.7,"Cherbourg"
"1224","No","Lower","male",30,0,0,7.225,"Cherbourg"
"1225","Si","Lower","female",19,1,1,15.7417,"Cherbourg"
"1226","No","Lower","male",27,0,0,7.8958,"Southampton"
"1227","No","Upper","male",30,0,0,26,"Southampton"
"1228","No","Middle","male",32,0,0,13,"Southampton"
"1229","No","Lower","male",39,0,2,7.2292,"Cherbourg"
"1230","No","Middle","male",25,0,0,31.5,"Southampton"
"1231","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"1232","No","Middle","male",18,0,0,10.5,"Southampton"
"1233","No","Lower","male",32,0,0,7.5792,"Southampton"
"1234","No","Lower","male",40,1,9,69.55,"Southampton"
"1235","Si","Upper","female",58,0,1,512.3292,"Cherbourg"
"1236","No","Lower","male",11.5,1,1,14.5,"Southampton"
"1237","Si","Lower","female",16,0,0,7.65,"Southampton"
"1238","No","Middle","male",26,0,0,13,"Southampton"
"1239","Si","Lower","female",38,0,0,7.2292,"Cherbourg"
"1240","No","Middle","male",24,0,0,13.5,"Southampton"
"1241","Si","Middle","female",31,0,0,21,"Southampton"
"1242","Si","Upper","female",45,0,1,63.3583,"Cherbourg"
"1243","No","Middle","male",25,0,0,10.5,"Southampton"
"1244","No","Middle","male",18,0,0,73.5,"Southampton"
"1245","No","Middle","male",49,1,2,65,"Southampton"
"1246","Si","Lower","female",0.17,1,2,20.575,"Southampton"
"1247","No","Upper","male",50,0,0,26,"Southampton"
"1248","Si","Upper","female",59,2,0,51.4792,"Southampton"
"1249","No","Lower","male",26,0,0,7.8792,"Southampton"
"1250","No","Lower","male",51,0,0,7.75,"Queenstown"
"1251","Si","Lower","female",30,1,0,15.55,"Southampton"
"1252","No","Lower","male",14.5,8,2,69.55,"Southampton"
"1253","Si","Middle","female",24,1,1,37.0042,"Cherbourg"
"1254","Si","Middle","female",31,0,0,21,"Southampton"
"1255","No","Lower","male",27,0,0,8.6625,"Southampton"
"1256","Si","Upper","female",25,1,0,55.4417,"Cherbourg"
"1257","Si","Lower","female",38,1,9,69.55,"Southampton"
"1258","No","Lower","male",26,1,0,14.4583,"Cherbourg"
"1259","Si","Lower","female",22,0,0,39.6875,"Southampton"
"1260","Si","Upper","female",45,0,1,59.4,"Cherbourg"
"1261","No","Middle","male",29,0,0,13.8583,"Cherbourg"
"1262","No","Middle","male",21,1,0,11.5,"Southampton"
"1263","Si","Upper","female",31,0,0,134.5,"Cherbourg"
"1264","No","Upper","male",49,0,0,26,"Southampton"
"1265","No","Middle","male",44,0,0,13,"Southampton"
"1266","Si","Upper","female",54,1,1,81.8583,"Southampton"
"1267","Si","Upper","female",45,0,0,262.375,"Cherbourg"
"1268","Si","Lower","female",22,2,0,8.6625,"Southampton"
"1269","No","Middle","male",21,0,0,11.5,"Southampton"
"1270","No","Upper","male",55,0,0,50,"Southampton"
"1271","No","Lower","male",5,4,2,31.3875,"Southampton"
"1272","No","Lower","male",51,0,0,7.75,"Queenstown"
"1273","No","Lower","male",26,0,0,7.8792,"Queenstown"
"1274","Si","Lower","female",26,0,0,14.5,"Southampton"
"1275","Si","Lower","female",19,1,0,16.1,"Southampton"
"1276","No","Middle","male",30,0,0,12.875,"Southampton"
"1277","Si","Middle","female",24,1,2,65,"Southampton"
"1278","No","Lower","male",24,0,0,7.775,"Southampton"
"1279","No","Middle","male",57,0,0,13,"Southampton"
"1280","No","Lower","male",21,0,0,7.75,"Queenstown"
"1281","No","Lower","male",6,3,1,21.075,"Southampton"
"1282","No","Upper","male",23,0,0,93.5,"Southampton"
"1283","Si","Upper","female",51,0,1,39.4,"Southampton"
"1284","No","Lower","male",13,0,2,20.25,"Southampton"
"1285","No","Middle","male",47,0,0,10.5,"Southampton"
"1286","No","Lower","male",29,3,1,22.025,"Southampton"
"1287","Si","Upper","female",18,1,0,60,"Southampton"
"1288","No","Lower","male",24,0,0,7.25,"Queenstown"
"1289","Si","Upper","female",48,1,1,79.2,"Cherbourg"
"1290","No","Lower","male",22,0,0,7.775,"Southampton"
"1291","No","Lower","male",31,0,0,7.7333,"Queenstown"
"1292","Si","Upper","female",30,0,0,164.8667,"Southampton"
"1293","No","Middle","male",38,1,0,21,"Southampton"
"1294","Si","Upper","female",22,0,1,59.4,"Cherbourg"
"1295","No","Upper","male",17,0,0,47.1,"Southampton"
"1296","No","Upper","male",43,1,0,27.7208,"Cherbourg"
"1297","No","Middle","male",20,0,0,13.8625,"Cherbourg"
"1298","No","Middle","male",23,1,0,10.5,"Southampton"
"1299","No","Upper","male",50,1,1,211.5,"Cherbourg"
"1300","Si","Lower","female",17,0,0,7.7208,"Queenstown"
"1301","Si","Lower","female",3,1,1,13.775,"Southampton"
"1302","Si","Lower","female",22,0,0,7.75,"Queenstown"
"1303","Si","Upper","female",37,1,0,90,"Queenstown"
"1304","Si","Lower","female",28,0,0,7.775,"Southampton"
"1305","No","Lower","male",24,0,0,8.05,"Southampton"
"1306","Si","Upper","female",39,0,0,108.9,"Cherbourg"
"1307","No","Lower","male",38.5,0,0,7.25,"Southampton"
"1308","No","Lower","male",24,0,0,8.05,"Southampton"
"1309","No","Lower","male",30,1,1,22.3583,"Cherbourg"
